Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
70482745,"2025-07-16 17:55:40",buy,13.12,GBPUSD,1.33813000,1.33746,1.34557000,"2025-07-16 18:16:25",1.34395000,0,-39.36,7635.84000000,58.2,1245
70479977,"2025-07-16 17:50:34",sell,17.3,USDJPY,148.77000000,148.813,147.82900000,"2025-07-16 18:16:16",147.82200000,0,-51.9,11094.69000000,94.8,1542
70316680,"2025-07-15 17:49:30",buy,2.16,XAUUSD,3347.38000000,3343.02,3398.40000000,"2025-07-15 18:19:19",3342.70000000,0,-7.23,-1010.88000000,-4.68,1789
70151510,"2025-07-14 18:06:35",sell,2.17,XAUUSD,3347.94000000,3351.98,3297.71000000,"2025-07-14 22:55:01",3344.70000000,0,-7.26,703.08000000,3.24,17306
70155545,"2025-07-14 18:38:51",buy,29.04,USDJPY,147.44500000,147.403,147.91700000,"2025-07-14 22:55:01",147.74300000,0,-87.12,5857.41000000,29.8,15370
69995874,"2025-07-11 20:32:30",buy,16.47,US100.cash,22812.85000000,22764.79,23392.31000000,"2025-07-11 22:05:26",22764.75000000,0,0,-792.21000000,-48.10,5576
69986783,"2025-07-11 18:47:19",buy,83.33,US500.cash,6261.29000000,6251.97,6369.02000000,"2025-07-11 19:07:39",6251.81000000,0,0,-789.97000000,-9.48,1220
69974354,"2025-07-11 17:45:28",buy,2.22,XAUUSD,3358.56000000,3355.46,3396.75000000,"2025-07-11 19:06:21",3355.38000000,0,-7.45,-705.96000000,-3.18,4853
69831642,"2025-07-10 20:25:57",sell,8.24,USDJPY,146.41900000,146.552,144.84400000,"2025-07-10 22:55:04",146.21200000,0,-24.72,1166.58000000,20.7,8947
69817652,"2025-07-10 18:35:16",buy,8.87,GBPUSD,1.35578000,1.35494,1.36570000,"2025-07-10 22:55:04",1.35811000,0,-26.62,2066.71000000,23.3,15588
69527839,"2025-07-08 22:56:30",sell,0.81,XAUUSD,3302.77000000,3311.03,3188.27000000,"2025-07-08 22:58:43",3302.90000000,0,-2.68,-10.53000000,-0.13,133
69527826,"2025-07-08 22:56:23",buy,29.9,US100.cash,22702.65000000,22701.19,23039.86000000,"2025-07-08 22:56:26",22701.05000000,0,0,-47.84000000,-1.60,3
69497867,"2025-07-08 18:28:58",buy,5.63,GBPUSD,1.35629000,1.35495,1.37239000,"2025-07-08 22:55:02",1.35873000,0,-16.9,1373.72000000,24.4,15964
69486594,"2025-07-08 19:59:29",sell,0.81,XAUUSD,3301.49000000,3311.02,3188.27000000,"2025-07-08 22:55:02",3304.89000000,0,-2.68,-275.40000000,-3.40,10533
69507000,"2025-07-08 19:35:07",buy,32.31,US100.cash,22719.85000000,22698.19,23010.36000000,"2025-07-08 19:35:43",22693.65000000,0,0,-846.52000000,-26.20,36
69507791,"2025-07-08 19:32:51",buy,112.68,US500.cash,6235.29000000,6229.37,6314.54000000,"2025-07-08 19:35:36",6229.32000000,0,0,-672.70000000,-5.97,165
69492805,"2025-07-08 18:13:22",buy,14.66,USDJPY,146.90900000,146.838,147.78100000,"2025-07-08 18:22:26",146.83800000,0,-43.98,-708.85000000,-7.1,544
69305510,"2025-07-07 18:06:17",buy,1.53,XAUUSD,3317.03000000,3313.96,3374.96000000,"2025-07-07 22:55:00",3338.43000000,0,-5.09,3274.20000000,21.40,17323
69305541,"2025-07-07 19:20:32",buy,27.13,USDJPY,145.75700000,145.724,146.17500000,"2025-07-07 20:30:17",146.17700000,0,-81.4,7795.07000000,42,4185
69305470,"2025-07-07 18:15:47",sell,42.64,US100.cash,22719.25000000,22736.81,22503.74000000,"2025-07-07 18:57:58",22738.05000000,0,0,-801.63000000,-18.80,2531
69300637,"2025-07-07 17:50:16",buy,11.33,GBPUSD,1.36381000,1.36316,1.37133000,"2025-07-07 17:54:24",1.36316000,0,-34,-736.45000000,-6.5,248
68889420,"2025-07-02 17:56:52",buy,92.38,US500.cash,6209.39000000,6201.02,6306.08000000,"2025-07-02 22:55:00",6223.61000000,0,0,1313.64000000,14.22,17888
68729432,"2025-07-01 18:51:25",sell,6.86,GBPUSD,1.37155000,1.37266,1.35837000,"2025-07-01 20:00:02",1.37277000,0,-20.58,-836.92000000,-12.2,4117
68563327,"2025-06-30 18:25:24",buy,1.08,XAUUSD,3288.16000000,3283.74,3329.48000000,"2025-06-30 22:55:01",3307.83000000,0,-3.57,2124.36000000,19.67,16177
68583686,"2025-06-30 21:02:10",sell,72.05,US500.cash,6184.52000000,6190.54,6128.33000000,"2025-06-30 21:57:13",6190.69000000,0,0,-444.55000000,-6.17,3303
68232501,"2025-06-26 20:06:23",buy,32.26,USOIL.cash,66.60000000,66.474,68.87400000,"2025-06-26 20:07:09",66.43300000,0,0,-538.74000000,-0.167,46
68060242,"2025-06-25 18:33:34",buy,1.89,XAUUSD,3321.96000000,3318.08,3368.57000000,"2025-06-25 22:55:01",3332.64000000,0,-6.29,2018.52000000,10.68,15687
68062984,"2025-06-25 21:16:44",buy,31.75,USOIL.cash,66.11300000,65.918,68.36600000,"2025-06-25 22:55:01",66.25700000,0,0,457.20000000,0.144,5897
67933288,"2025-06-24 20:46:00",sell,6.39,USOIL.cash,65.90000000,66.646,63.02900000,"2025-06-24 22:55:00",66.07300000,0,0,-110.55000000,-0.173,7740
67726351,"2025-06-23 19:37:13",buy,0.79,GBPUSD,1.34729000,1.34357,1.37678000,"2025-06-23 22:55:01",1.35243000,0,-2.38,406.06000000,51.4,11868
67726917,"2025-06-23 19:41:47",buy,0.34,XAUUSD,3385.23000000,3377.01,3465.76000000,"2025-06-23 20:27:25",3376.55000000,0,-1.15,-295.12000000,-8.68,2738
67738236,"2025-06-23 19:41:00",sell,14.12,US500.cash,5964.92000000,5984.63,5773.70000000,"2025-06-23 20:11:55",5984.88000000,0,0,-281.84000000,-19.96,1855
67531122,"2025-06-20 17:51:06",buy,2.92,USDJPY,145.89100000,145.652,147.03900000,"2025-06-20 22:55:02",146.16800000,0,-8.76,553.36000000,27.7,18236
67536888,"2025-06-20 18:17:23",sell,1.56,GBPUSD,1.34760000,1.35024,1.33186000,"2025-06-20 22:55:02",1.34504000,0,-4.68,399.36000000,25.6,16659
67529953,"2025-06-20 18:33:05",sell,13.59,US500.cash,5980.12000000,6016.18,5822.53000000,"2025-06-20 22:55:01",5971.78000000,0,0,113.34000000,8.34,15716
67552125,"2025-06-20 20:45:06",buy,11.71,USOIL.cash,75.22100000,75.15,77.00700000,"2025-06-20 20:57:07",75.30300000,0,0,96.02000000,0.082,721
67536492,"2025-06-20 18:14:47",sell,1.56,GBPUSD,1.34767000,1.35024,1.33186000,"2025-06-20 18:17:44",1.34779000,0,-4.68,-18.72000000,-1.2,177
67528422,"2025-06-20 17:51:12",sell,3.5,EURUSD,1.15047000,1.15188,1.14361000,"2025-06-20 17:57:55",1.15190000,0,-10.5,-500.50000000,-14.3,403
67529985,"2025-06-20 17:45:18",sell,7.36,US100.cash,21645.15000000,21709.34,21325.36000000,"2025-06-20 17:48:48",21632.25000000,0,0,94.94000000,12.90,210
67482799,"2025-06-20 14:24:55",buy,0.59,XAUUSD,3352.60000000,3344.48,3393.20000000,"2025-06-20 15:29:37",3347.82000000,0,-1.98,-282.02000000,-4.78,3882
67467337,"2025-06-20 14:14:38",buy,8.06,EURUSD,1.15169000,1.15111,1.15459000,"2025-06-20 15:29:36",1.15150000,0,-24.18,-153.14000000,-1.9,4498
67472614,"2025-06-20 12:47:59",sell,5,USDJPY,145.30900000,145.448,144.71400000,"2025-06-20 13:56:10",145.44900000,0,-15,-481.27000000,-14,4091
67462562,"2025-06-20 11:28:47",buy,43.52,US500.cash,5972.68000000,5961.9,6024.90000000,"2025-06-20 11:50:52",5961.02000000,0,0,-507.44000000,-11.66,1325
67463052,"2025-06-20 11:22:04",buy,15.75,US100.cash,21696.95000000,21667.34,21836.08000000,"2025-06-20 11:40:25",21667.15000000,0,0,-469.35000000,-29.80,1101
67227769,"2025-06-18 17:49:03",buy,23.68,US500.cash,6013.38000000,5980.5,6157.62000000,"2025-06-18 21:57:09",5979.52000000,0,0,-801.80000000,-33.86,14886
67227872,"2025-06-18 17:46:51",buy,7.44,US100.cash,21855.25000000,21790.47,22406.43000000,"2025-06-18 20:00:45",21789.45000000,0,0,-489.55000000,-65.80,8034
66345176,"2025-06-11 17:35:13",buy,55.45,US100.cash,22021.75000000,21986.93,22295.35000000,"2025-06-11 18:09:31",21986.85000000,0,0,-1935.21000000,-34.90,2058
66345511,"2025-06-11 17:38:32",buy,55.68,US100.cash,22017.45000000,21986.93,22446.97000000,"2025-06-11 17:38:40",22018.65000000,0,0,66.82000000,1.20,8
66184903,"2025-06-10 18:38:15",sell,85.91,US100.cash,21781.85000000,21803.88,21491.82000000,"2025-06-10 18:43:10",21804.35000000,0,0,-1932.98000000,-22.50,295
66182101,"2025-06-10 18:30:14",buy,376.22,US500.cash,6019.58000000,6015.03,6070.98000000,"2025-06-10 18:32:31",6013.32000000,0,0,-2355.14000000,-6.26,137
65997695,"2025-06-09 17:44:22",buy,212.77,US500.cash,6005.88000000,5997.82,6096.66000000,"2025-06-09 22:55:32",6010.62000000,0,0,1008.53000000,4.74,18670
65997707,"2025-06-09 17:44:41",buy,47.76,US100.cash,21830.05000000,21789.27,22310.13000000,"2025-06-09 18:27:50",21788.85000000,0,0,-1967.71000000,-41.20,2589
65857530,"2025-06-06 19:48:19",sell,49.2,US100.cash,21744.45000000,21783.27,21502.47000000,"2025-06-06 20:41:11",21783.25000000,0,0,-1908.96000000,-38.80,3172
65675023,"2025-06-05 18:00:24",buy,34.66,US100.cash,21825.75000000,21769.87,22146.51000000,"2025-06-05 19:40:29",21769.85000000,0,0,-1937.49000000,-55.90,6005
65521561,"2025-06-04 22:30:33",buy,40.32,US100.cash,21747.35000000,21699.72,22036.12000000,"2025-06-04 22:55:08",21719.45000000,0,0,-1124.93000000,-27.90,1475
65521384,"2025-06-04 22:27:08",buy,40.32,US100.cash,21745.85000000,21699.72,22036.12000000,"2025-06-04 22:29:43",21746.05000000,0,0,8.06000000,0.20,155
65317172,"2025-06-03 21:10:49",buy,38.72,US100.cash,21598.35000000,21552.8,21893.54000000,"2025-06-03 22:45:04",21647.85000000,0,0,1916.64000000,49.50,5655
65126673,"2025-06-02 19:26:33",buy,98.43,US500.cash,5901.58000000,5881.72,6018.85000000,"2025-06-02 22:48:26",5930.42000000,0,0,2838.72000000,28.84,12113
64787359,"2025-05-29 20:16:58",sell,14.88,US100.cash,21391.95000000,21483.23,20554.68000000,"2025-05-29 22:45:42",21343.75000000,0,0,717.22000000,48.20,8924
64775144,"2025-05-29 19:10:58",sell,92,US500.cash,5891.52000000,5912.31,5762.91000000,"2025-05-29 19:58:05",5912.58000000,0,0,-1937.52000000,-21.06,2827
